,Country,Year,Population,Area (Km2),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Fugitive Emissions (Mt),Sub-Region_Eastern Africa,Sub-Region_Middle Africa,Sub-Region_Northern Africa,Sub-Region_Southern Africa,Sub-Region_Western Africa
502,23,2019,1970457,36125,2.1799999999999997,0.33,0.11,1.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0
503,23,2020,2015828,36125,2.1799999999999997,0.33,0.11,1.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0
504,24,2000,30851606,580367,18.229999999999997,8.63,0.33,0.0,0.57,0.0,1.0,0.0,0.0,0.0,0.0
505,24,2001,31800343,580367,32.0,7.88,0.32,15.17,0.57,0.0,1.0,0.0,0.0,0.0,0.0
506,24,2002,32779823,580367,31.429999999999996,7.66,0.27,15.17,0.66,0.0,1.0,0.0,0.0,0.0,0.0
507,24,2003,33767122,580367,29.759999999999994,6.84,0.21,15.17,0.77,0.0,1.0,0.0,0.0,0.0,0.0
508,24,2004,34791836,580367,31.5,7.66,0.22,15.17,0.86,0.0,1.0,0.0,0.0,0.0,0.0
509,24,2005,35843010,580367,33.459999999999994,8.71,0.14,15.17,1.06,0.0,1.0,0.0,0.0,0.0,0.0
510,24,2006,36925253,580367,35.64,9.77,0.14,15.17,1.08,0.0,1.0,0.0,0.0,0.0,0.0
511,24,2007,38036793,580367,35.86,9.87,0.22,15.17,1.27,0.0,1.0,0.0,0.0,0.0,0.0
512,24,2008,39186895,580367,36.52,10.41,0.15,15.17,1.41,0.0,1.0,0.0,0.0,0.0,0.0
513,24,2009,40364444,580367,40.33,12.42,0.11,15.17,1.66,0.0,1.0,0.0,0.0,0.0,0.0
514,24,2010,41517895,580367,41.96,13.42,0.15,15.17,1.85,0.0,1.0,0.0,0.0,0.0,0.0
515,24,2011,42635144,580367,36.29,13.96,0.13,8.34,2.23,0.0,1.0,0.0,0.0,0.0,0.0
516,24,2012,43725806,580367,34.24,12.98,0.11,8.34,2.31,0.0,1.0,0.0,0.0,0.0,0.0
517,24,2013,44792368,580367,36.41,14.39,0.13,8.34,2.52,0.0,1.0,0.0,0.0,0.0,0.0
518,24,2014,45831863,580367,40.58,16.7,0.16,8.34,2.92,0.0,1.0,0.0,0.0,0.0,0.0
519,24,2015,46851488,580367,43.53,18.09,0.15,8.34,3.16,0.0,1.0,0.0,0.0,0.0,0.0
520,24,2016,47894670,580367,37.339999999999996,19.31,0.16,0.0,3.34,0.0,1.0,0.0,0.0,0.0,0.0
521,24,2017,48948137,580367,39.239999999999995,20.1,0.23,0.0,3.11,0.0,1.0,0.0,0.0,0.0,0.0
522,24,2018,49953304,580367,37.75000000000001,19.25,0.24,0.0,3.01,0.0,1.0,0.0,0.0,0.0,0.0
523,24,2019,50951450,580367,38.27,19.48,0.16,0.0,2.97,0.0,1.0,0.0,0.0,0.0,0.0
524,24,2020,51985780,580367,36.510000000000005,19.45,0.17,0.0,3.69,0.0,1.0,0.0,0.0,0.0,0.0
525,25,2000,1998630,30355,3.49,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
526,25,2001,1999473,30355,3.53,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
527,25,2002,1997534,30355,3.6100000000000003,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
528,25,2003,1993030,30355,3.66,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
529,25,2004,1985384,30355,3.74,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
530,25,2005,1977424,30355,3.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
531,25,2006,1976780,30355,3.8499999999999996,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
532,25,2007,1983465,30355,3.92,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
533,25,2008,1995014,30355,4.01,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
534,25,2009,2009169,30355,4.21,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
535,25,2010,2022747,30355,4.32,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
536,25,2011,2037677,30355,5.78,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
537,25,2012,2054718,30355,5.84,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
538,25,2013,2073939,30355,4.42,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
539,25,2014,2095242,30355,4.7,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540,25,2015,2118521,30355,4.290000000000001,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
541,25,2016,2143872,30355,4.26,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
542,25,2017,2170617,30355,4.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
543,25,2018,2198017,30355,4.56,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
544,25,2019,2225702,30355,4.609999999999999,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
545,25,2020,2254100,30355,4.63,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
546,26,2000,2895224,111369,14.25,0.43,0.1,13.39,0.03,0.0,0.0,0.0,0.0,0.0,1.0
547,26,2001,2981648,111369,14.309999999999999,0.45,0.04,13.4,0.03,0.0,0.0,0.0,0.0,0.0,1.0
548,26,2002,3060599,111369,14.319999999999999,0.44,0.03,13.41,0.02,0.0,0.0,0.0,0.0,0.0,1.0
549,26,2003,3085173,111369,14.389999999999999,0.48,0.04,13.41,0.01,0.0,0.0,0.0,0.0,0.0,1.0
550,26,2004,3122447,111369,14.51,0.56,0.03,13.41,0.05,0.0,0.0,0.0,0.0,0.0,1.0
551,26,2005,3266318,111369,14.73,0.67,0.04,13.41,0.06,0.0,0.0,0.0,0.0,0.0,1.0
552,26,2006,3455397,111369,14.77,0.69,0.05,13.41,0.06,0.0,0.0,0.0,0.0,0.0,1.0
553,26,2007,3632740,111369,14.67,0.64,0.01,13.41,0.06,0.0,0.0,0.0,0.0,0.0,1.0
554,26,2008,3783887,111369,14.499999999999998,0.54,0.01,13.41,0.04,0.0,0.0,0.0,0.0,0.0,1.0
555,26,2009,3905066,111369,14.499999999999998,0.53,0.01,13.41,0.03,0.0,0.0,0.0,0.0,0.0,1.0
556,26,2010,4019956,111369,14.889999999999999,0.73,0.02,13.41,0.03,0.0,0.0,0.0,0.0,0.0,1.0
557,26,2011,4181150,111369,15.120000000000001,0.85,0.02,13.41,0.03,0.0,0.0,0.0,0.0,0.0,1.0
558,26,2012,4331740,111369,15.300000000000002,0.94,0.02,13.41,0.05,0.0,0.0,0.0,0.0,0.0,1.0
559,26,2013,4427313,111369,15.210000000000003,0.91,0.02,13.41,0.08,0.0,0.0,0.0,0.0,0.0,1.0
560,26,2014,4519398,111369,15.76,1.21,0.03,13.41,0.11,0.0,0.0,0.0,0.0,0.0,1.0
561,26,2015,4612329,111369,15.839999999999998,1.25,0.03,13.41,0.12,0.0,0.0,0.0,0.0,0.0,1.0
562,26,2016,4706097,111369,16.150000000000002,1.4,0.03,13.41,0.09,0.0,0.0,0.0,0.0,0.0,1.0
563,26,2017,4796631,111369,15.869999999999997,1.27,0.03,13.41,0.11,0.0,0.0,0.0,0.0,0.0,1.0
564,26,2018,4889391,111369,15.58,1.13,0.03,13.41,0.13,0.0,0.0,0.0,0.0,0.0,1.0
565,26,2019,4985289,111369,15.61,1.15,0.03,13.41,0.13,0.0,0.0,0.0,0.0,0.0,1.0
566,26,2020,5087584,111369,15.649999999999999,1.18,0.03,13.41,0.16,0.0,0.0,0.0,0.0,0.0,1.0
567,27,2000,5154790,1759540,90.44,44.72,0.0,0.0,1.21,7.41,0.0,0.0,1.0,0.0,0.0
568,27,2001,5275916,1759540,89.24000000000001,44.46,0.0,0.0,1.21,6.43,0.0,0.0,1.0,0.0,0.0
569,27,2002,5405326,1759540,91.40000000000003,45.6,0.0,0.0,1.32,6.13,0.0,0.0,1.0,0.0,0.0
570,27,2003,5542641,1759540,98.1,48.93,0.0,0.0,1.4,7.59,0.0,0.0,1.0,0.0,0.0
571,27,2004,5687563,1759540,97.26999999999998,48.47,0.0,0.0,1.43,7.03,0.0,0.0,1.0,0.0,0.0
572,27,2005,5837986,1759540,106.22999999999999,53.0,0.0,0.0,1.44,7.65,0.0,0.0,1.0,0.0,0.0
573,27,2006,5973369,1759540,105.85999999999999,52.93,0.0,0.0,2.08,7.27,0.0,0.0,1.0,0.0,0.0
574,27,2007,6097177,1759540,98.81,49.4,0.0,0.0,2.02,6.32,0.0,0.0,1.0,0.0,0.0
575,27,2008,6228370,1759540,106.39999999999999,53.28,0.0,0.0,2.12,6.65,0.0,0.0,1.0,0.0,0.0
576,27,2009,6360191,1759540,112.05999999999999,56.4,0.0,0.0,2.5,5.82,0.0,0.0,1.0,0.0,0.0
577,27,2010,6491988,1759540,118.09,59.56,0.0,0.0,2.7,6.32,0.0,0.0,1.0,0.0,0.0
578,27,2011,6188132,1759540,82.07000000000001,41.51,0.0,0.0,1.34,3.66,0.0,0.0,1.0,0.0,0.0
579,27,2012,5869870,1759540,117.50999999999999,58.32,0.0,0.0,0.76,9.88,0.0,0.0,1.0,0.0,0.0
580,27,2013,5985221,1759540,119.90000000000003,59.77,0.0,0.0,0.78,6.89,0.0,0.0,1.0,0.0,0.0
581,27,2014,6097764,1759540,116.46999999999998,59.29,0.0,0.0,2.71,4.82,0.0,0.0,1.0,0.0,0.0
582,27,2015,6192235,1759540,101.14999999999999,51.33,0.0,0.0,1.94,4.34,0.0,0.0,1.0,0.0,0.0
583,27,2016,6282196,1759540,96.25,48.69,0.0,0.0,1.59,3.91,0.0,0.0,1.0,0.0,0.0
584,27,2017,6378261,1759540,103.3,52.1,0.0,0.0,1.74,6.5,0.0,0.0,1.0,0.0,0.0
585,27,2018,6477793,1759540,107.47,54.1,0.0,0.0,1.74,7.76,0.0,0.0,1.0,0.0,0.0
586,27,2019,6569088,1759540,109.06,54.69,0.0,0.0,1.4,8.51,0.0,0.0,1.0,0.0,0.0
587,27,2020,6653942,1759540,88.10000000000001,44.47,0.0,0.0,1.2,4.11,0.0,0.0,1.0,0.0,0.0
588,28,2000,16216431,587041,31.37,1.65,0.0,27.91,0.02,0.0,1.0,0.0,0.0,0.0,0.0
589,28,2001,16709665,587041,24.53,1.67,0.0,21.01,0.02,0.0,1.0,0.0,0.0,0.0,0.0
590,28,2002,17211934,587041,23.310000000000002,1.12,0.0,21.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0
591,28,2003,17724310,587041,24.15,1.55,0.0,20.99,0.08,0.0,1.0,0.0,0.0,0.0,0.0
592,28,2004,18250774,587041,24.409999999999997,1.65,0.0,21.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0
593,28,2005,18792171,587041,24.549999999999997,1.71,0.0,21.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0
594,28,2006,19350299,587041,24.43,1.64,0.0,21.01,0.06,0.0,1.0,0.0,0.0,0.0,0.0
595,28,2007,19924958,587041,24.550000000000004,1.72,0.0,21.01,0.1,0.0,1.0,0.0,0.0,0.0,0.0
596,28,2008,20513599,587041,24.69,1.78,0.0,21.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0
597,28,2009,21117092,587041,24.46,1.69,0.0,21.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0
598,28,2010,21731053,587041,24.869999999999997,1.87,0.0,21.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0
599,28,2011,22348158,587041,13.55,2.19,0.0,9.05,0.08,0.0,1.0,0.0,0.0,0.0,0.0
600,28,2012,22966240,587041,14.63,2.74,0.0,9.05,0.09,0.0,1.0,0.0,0.0,0.0,0.0
601,28,2013,23588073,587041,14.959999999999999,2.93,0.0,9.04,0.09,0.0,1.0,0.0,0.0,0.0,0.0
602,28,2014,24215976,587041,15.140000000000002,3.01,0.0,9.04,0.06,0.0,1.0,0.0,0.0,0.0,0.0
603,28,2015,24850912,587041,15.69,3.28,0.0,9.04,0.06,0.0,1.0,0.0,0.0,0.0,0.0
604,28,2016,25501941,587041,15.489999999999998,3.18,0.05,9.04,0.06,0.0,1.0,0.0,0.0,0.0,0.0
605,28,2017,26169542,587041,16.07,3.48,0.09,9.03,0.08,0.0,1.0,0.0,0.0,0.0,0.0
606,28,2018,26846541,587041,15.77,3.3,0.1,9.04,0.05,0.0,1.0,0.0,0.0,0.0,0.0
607,28,2019,27533134,587041,17.03,3.93,0.26,9.06,0.05,0.0,1.0,0.0,0.0,0.0,0.0
608,28,2020,28225177,587041,14.579999999999998,2.75,0.24,9.06,0.04,0.0,1.0,0.0,0.0,0.0,0.0
609,29,2000,11229387,118484,9.64,0.88,0.0,7.93,0.06,0.0,1.0,0.0,0.0,0.0,0.0
610,29,2001,11498818,118484,9.600000000000001,0.85,0.0,7.94,0.06,0.0,1.0,0.0,0.0,0.0,0.0
611,29,2002,11784498,118484,9.630000000000003,0.86,0.05,7.94,0.05,0.0,1.0,0.0,0.0,0.0,0.0
612,29,2003,12087965,118484,9.660000000000002,0.89,0.07,7.94,0.08,0.0,1.0,0.0,0.0,0.0,0.0
613,29,2004,12411342,118484,9.719999999999999,0.9,0.08,7.94,0.04,0.0,1.0,0.0,0.0,0.0,0.0
614,29,2005,12755648,118484,9.66,0.85,0.08,7.94,0.01,0.0,1.0,0.0,0.0,0.0,0.0
615,29,2006,13118307,118484,9.7,0.86,0.08,7.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0
616,29,2007,13495463,118484,9.81,0.93,0.08,7.95,0.02,0.0,1.0,0.0,0.0,0.0,0.0
617,29,2008,13889423,118484,9.99,1.01,0.08,7.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0
618,29,2009,14298932,118484,10.04,1.04,0.08,7.96,0.01,0.0,1.0,0.0,0.0,0.0,0.0
619,29,2010,14718422,118484,9.95,0.98,0.08,7.95,0.02,0.0,1.0,0.0,0.0,0.0,0.0
620,29,2011,15146094,118484,10.11,1.07,0.09,7.96,0.01,0.0,1.0,0.0,0.0,0.0,0.0
621,29,2012,15581251,118484,10.100000000000001,1.08,0.09,7.96,0.03,0.0,1.0,0.0,0.0,0.0,0.0
622,29,2013,16024775,118484,10.21,1.15,0.09,7.95,0.07,0.0,1.0,0.0,0.0,0.0,0.0
623,29,2014,16477966,118484,9.9,1.05,0.07,7.92,0.12,0.0,1.0,0.0,0.0,0.0,0.0
624,29,2015,16938942,118484,10.04,1.09,0.07,7.92,0.07,0.0,1.0,0.0,0.0,0.0,0.0
625,29,2016,17405624,118484,10.31,1.22,0.07,7.92,0.07,0.0,1.0,0.0,0.0,0.0,0.0
626,29,2017,17881167,118484,10.64,1.39,0.07,7.92,0.1,0.0,1.0,0.0,0.0,0.0,0.0
627,29,2018,18367883,118484,11.049999999999999,1.61,0.08,7.92,0.11,0.0,1.0,0.0,0.0,0.0,0.0
628,29,2019,18867337,118484,11.089999999999998,1.64,0.06,7.92,0.11,0.0,1.0,0.0,0.0,0.0,0.0
629,29,2020,19377061,118484,11.11,1.64,0.06,7.91,0.1,0.0,1.0,0.0,0.0,0.0,0.0
630,30,2000,11239101,1240192,2.2399999999999998,1.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
631,30,2001,11583824,1240192,2.46,1.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
632,30,2002,11952660,1240192,2.54,1.24,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
633,30,2003,12342165,1240192,2.6100000000000003,1.28,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
634,30,2004,12751995,1240192,2.96,1.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
635,30,2005,13180551,1240192,3.0799999999999996,1.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
636,30,2006,13623541,1240192,3.2299999999999995,1.58,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
637,30,2007,14080912,1240192,3.76,1.84,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
638,30,2008,14551117,1240192,4.13,2.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
639,30,2009,15032635,1240192,3.9999999999999996,1.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,30,2010,15529181,1240192,4.44,2.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
641,30,2011,16039734,1240192,4.829999999999999,2.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
642,30,2012,16514687,1240192,5.17,2.51,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
643,30,2013,17004033,1240192,5.620000000000001,2.81,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1.0
644,30,2014,17551814,1240192,6.279999999999999,3.17,0.08,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.0
645,30,2015,18112907,1240192,6.609999999999999,3.34,0.06,0.0,0.24,0.0,0.0,0.0,0.0,0.0,1.0
646,30,2016,18700106,1240192,6.76,3.41,0.48,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
647,30,2017,19311355,1240192,7.200000000000001,3.63,0.33,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.0
648,30,2018,19934298,1240192,7.550000000000001,3.87,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1.0
649,30,2019,20567424,1240192,7.7,3.94,0.16,0.0,0.39,0.0,0.0,0.0,0.0,0.0,1.0
650,30,2020,21224040,1240192,7.92,4.15,0.16,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0
651,31,2000,2695003,1030700,2.7100000000000004,1.12,0.18,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
652,31,2001,2761823,1030700,2.8299999999999996,1.18,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
653,31,2002,2821703,1030700,2.9899999999999998,1.27,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
654,31,2003,2883326,1030700,3.08,1.3,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
655,31,2004,2946575,1030700,3.3,1.41,0.23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
656,31,2005,3012360,1030700,3.3699999999999997,1.45,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
657,31,2006,3081229,1030700,3.3700000000000006,1.46,0.18,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
658,31,2007,3153508,1030700,3.8799999999999994,1.72,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
659,31,2008,3233336,1030700,4.05,1.8,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
660,31,2009,3322616,1030700,4.46,1.99,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
661,31,2010,3419461,1030700,4.6,2.07,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
662,31,2011,3524249,1030700,4.82,2.18,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
663,31,2012,3636113,1030700,5.180000000000001,2.36,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
664,31,2013,3742959,1030700,4.680000000000001,2.1,0.13,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
665,31,2014,3843174,1030700,5.53,2.53,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
666,31,2015,3946220,1030700,6.390000000000001,2.97,0.18,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
667,31,2016,4051890,1030700,5.23,2.58,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
668,31,2017,4160015,1030700,6.890000000000001,3.41,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
669,31,2018,4270712,1030700,7.500000000000001,3.72,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
670,31,2019,4383849,1030700,7.709999999999999,3.82,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
671,31,2020,4498604,1030700,7.760000000000001,3.85,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
672,32,2000,1186873,2040,6.180000000000001,2.43,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
673,32,2001,1196287,2040,6.4799999999999995,2.57,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
674,32,2002,1204621,2040,6.47,2.61,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
675,32,2003,1213370,2040,6.679999999999999,2.75,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
676,32,2004,1221003,2040,6.79,2.77,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
677,32,2005,1228254,2040,7.34,2.96,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
678,32,2006,1233996,2040,7.989999999999999,3.3,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
679,32,2007,1239630,2040,8.280000000000001,3.4,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
680,32,2008,1244121,2040,8.5,3.47,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
681,32,2009,1247429,2040,8.27,3.42,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
682,32,2010,1250400,2040,8.879999999999999,3.66,0.01,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
683,32,2011,1252404,2040,8.959999999999999,3.64,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
684,32,2012,1255882,2040,9.0,3.73,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
685,32,2013,1258927,2040,9.24,3.82,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
686,32,2014,1261208,2040,9.6,3.95,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
687,32,2015,1262879,2040,9.65,3.96,0.01,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
688,32,2016,1263747,2040,10.03,4.04,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
689,32,2017,1264887,2040,10.76,4.17,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
690,32,2018,1265577,2040,11.049999999999999,4.13,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
691,32,2019,1265985,2040,11.3,4.17,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
692,32,2020,1266014,2040,9.79,3.72,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
693,33,2000,28554415,446550,63.39,32.88,1.27,0.0,3.33,0.0,0.0,0.0,1.0,0.0,0.0
694,33,2001,28930097,446550,69.41,36.27,1.34,0.0,4.08,0.0,0.0,0.0,1.0,0.0,0.0
695,33,2002,29301817,446550,71.76,37.47,1.36,0.0,4.13,0.0,0.0,0.0,1.0,0.0,0.0
696,33,2003,29661270,446550,71.28,37.25,1.42,0.0,4.18,0.0,0.0,0.0,1.0,0.0,0.0
697,33,2004,30033125,446550,78.72,41.01,1.5,0.0,4.4,0.0,0.0,0.0,1.0,0.0,0.0
698,33,2005,30431902,446550,84.05,43.58,1.59,0.0,4.36,0.0,0.0,0.0,1.0,0.0,0.0
699,33,2006,30833022,446550,86.91000000000001,44.99,1.65,0.0,4.47,0.0,0.0,0.0,1.0,0.0,0.0
700,33,2007,31232633,446550,89.30000000000001,46.34,1.67,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
701,33,2008,31634992,446550,93.44000000000001,48.63,1.72,0.0,5.46,0.0,0.0,0.0,1.0,0.0,0.0
702,33,2009,32042877,446550,93.55999999999999,48.77,2.0,0.0,5.6,0.0,0.0,0.0,1.0,0.0,0.0
703,33,2010,32464865,446550,100.35,51.75,2.04,0.0,5.36,0.0,0.0,0.0,1.0,0.0,0.0
704,33,2011,32903699,446550,108.86999999999999,55.92,2.15,0.0,5.19,0.0,0.0,0.0,1.0,0.0,0.0
705,33,2012,33352169,446550,112.36,58.08,2.24,0.0,5.84,0.0,0.0,0.0,1.0,0.0,0.0
706,33,2013,33803527,446550,111.30000000000001,57.6,2.32,0.0,6.07,0.0,0.0,0.0,1.0,0.0,0.0
707,33,2014,34248603,446550,114.57000000000001,58.69,2.38,0.0,5.17,0.0,0.0,0.0,1.0,0.0,0.0
708,33,2015,34680458,446550,117.96,60.36,2.52,0.0,5.25,0.0,0.0,0.0,1.0,0.0,0.0
709,33,2016,35107264,446550,117.85000000000001,60.29,2.61,0.0,5.21,0.02,0.0,0.0,1.0,0.0,0.0
710,33,2017,35528115,446550,123.57000000000001,63.01,2.75,0.0,5.06,0.0,0.0,0.0,1.0,0.0,0.0
711,33,2018,35927511,446550,126.44999999999999,64.29,2.83,0.0,4.88,0.0,0.0,0.0,1.0,0.0,0.0
712,33,2019,36304408,446550,139.87,70.99,2.97,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
713,33,2020,36688772,446550,130.26999999999998,66.72,2.64,0.0,4.49,0.0,0.0,0.0,1.0,0.0,0.0
714,34,2000,17768505,801590,51.24999999999999,1.43,0.01,48.36,0.11,0.0,1.0,0.0,0.0,0.0,0.0
715,34,2001,18220716,801590,51.779999999999994,1.41,0.02,48.93,0.11,0.0,1.0,0.0,0.0,0.0,0.0
716,34,2002,18694946,801590,52.010000000000005,1.57,0.01,48.93,0.2,0.0,1.0,0.0,0.0,0.0,0.0
717,34,2003,19186754,801590,52.76,1.9,0.02,48.93,0.24,0.0,1.0,0.0,0.0,0.0,0.0
718,34,2004,19694411,801590,52.789999999999985,1.91,0.02,48.93,0.22,0.0,1.0,0.0,0.0,0.0,0.0
719,34,2005,20211114,801590,52.28999999999999,1.71,0.01,48.93,0.19,0.0,1.0,0.0,0.0,0.0,0.0
720,34,2006,20735982,801590,52.6,1.86,0.02,48.93,0.24,0.0,1.0,0.0,0.0,0.0,0.0
721,34,2007,21280513,801590,53.33,2.23,0.02,48.93,0.26,0.0,1.0,0.0,0.0,0.0,0.0
722,34,2008,21845571,801590,53.31,2.24,0.02,48.93,0.29,0.0,1.0,0.0,0.0,0.0,0.0
723,34,2009,22436660,801590,53.830000000000005,2.49,0.02,48.93,0.3,0.0,1.0,0.0,0.0,0.0,0.0
724,34,2010,23073723,801590,54.14000000000001,2.68,0.02,48.93,0.34,0.0,1.0,0.0,0.0,0.0,0.0
725,34,2011,23760421,801590,51.89999999999999,3.29,0.02,45.58,0.37,0.0,1.0,0.0,0.0,0.0,0.0
726,34,2012,24487611,801590,52.529999999999994,3.64,0.02,45.58,0.45,0.0,1.0,0.0,0.0,0.0,0.0
727,34,2013,25251731,801590,53.519999999999996,4.15,0.03,45.58,0.51,0.01,1.0,0.0,0.0,0.0,0.0
728,34,2014,26038704,801590,54.76000000000001,4.82,0.06,45.58,0.59,0.02,1.0,0.0,0.0,0.0,0.0
729,34,2015,26843246,801590,56.03999999999999,5.48,0.19,45.58,0.61,0.01,1.0,0.0,0.0,0.0,0.0
730,34,2016,27696493,801590,66.49000000000001,7.24,0.17,52.83,0.95,0.0,1.0,0.0,0.0,0.0,0.0
